ID article dans kezzia,Type d'article pour nom,Marque d'article pour nom,BIO (oui/non),Nom d'article au Super Cafoutch,Code barre,Nom fournisseur,Nom article chez fournisseur,Référence fournisseur,Colisage en unité de mesure,Prix HT par unité de mesure,Catégorie interne,TVA,Contrôle TVA,Poids net (kilo),Volume (litre),Lien vers photo,Pays d'origine,Produit en mercuriale (oui/non)
1 972,Saumon rillettes huile olive citron -,PHARE D'EKMÜHL,oui,Saumon rillettes huile olive citron - PHARE D'EKMÜHL,3263670790214,Bryio,Saumon rillettes huile olive citron AB 125gr,EK79021,12,"3,26",Alimentaire / Épicerie / Conserves de poisson,A5.5-V5.5,ok,"0,125",,http://espacepro.bryio.com/images/stories/virtuemart/product/3263670790214.jpg,,non
1 960,Rillettes de thon listao -,PHARE D'EKMÜHL,non,Rillettes de thon listao - PHARE D'EKMÜHL,3263670455014,Bryio,"Rillettes de thon listao 120gr ""pêche responsable""",EK45501,12,"2,11",Alimentaire / Épicerie / Conserves de poisson,A5.5-V5.5,ok,"0,12",,http://espacepro.bryio.com/images/stories/virtuemart/product/3263670455014.jpg,,non
1 515,Pâtes italiennes blanches ruote -,BIONATURAE,oui,Pâtes italiennes blanches ruote - BIONATURAE,8034063245858,Bryio,Pâtes italiennes blanches ruote 500gr,IS585,12,"1,14","Alimentaire / Épicerie / Riz, Pâtes, Féculents",A5.5-V5.5,ok,"0,5",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063245858.jpg,,non
1 945,Sardines de Bretagne au naturel -,PHARE D'EKMÜHL,non,Sardines de Bretagne au naturel - PHARE D'EKMÜHL,3263670138016,Bryio,Sardines de Bretagne au naturel 135gr MSC (IPIP),EK13801,12,"2,30",Alimentaire / Épicerie / Conserves de poisson,A5.5-V5.5,ok,"0,135",,http://espacepro.bryio.com/images/stories/virtuemart/product/3263670138016.jpg,,non
1 524,Arrabbiata -,BIONATURAE,oui,Arrabbiata - BIONATURAE,8034063246107,Bryio,Arrabbiata 190g,IS610,6,"1,63",Alimentaire / Épicerie / Sauces,A5.5-V5.5,ok,"0,19",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063246107.jpg,,non
2 012,Shoyu -,YAKSO,oui,Shoyu - YAKSO,5400313009472,Bryio,Shoyu 250ml,FZ947,6,"2,47",Alimentaire / Épicerie / Sauces,A5.5-V5.5,ok,,"0,25",http://espacepro.bryio.com/images/stories/virtuemart/product/5400313009472.jpg,,non
1 993,Sucre de fleur de coco -,RACINES BIO,oui,Sucre de fleur de coco - RACINES BIO,3700019520861,Bryio,Sucre de fleur de coco bio 480gr,RN086,12,"3,82",Alimentaire / Épicerie / Sucre,A5.5-V5.5,ok,"0,48",,http://espacepro.bryio.com/images/stories/virtuemart/product/3700019520861.jpg,,non
2 011,Tamari -,YAKSO,oui,Tamari - YAKSO,5400313009465,Bryio,Tamari 250ml,FZ946,6,"3,05",Alimentaire / Épicerie / Sauces,A5.5-V5.5,ok,,"0,25",http://espacepro.bryio.com/images/stories/virtuemart/product/5400313009465.jpg,,non
1 957,Thon albacore pêché canne hyposodé -,PHARE D'EKMÜHL,non,Thon albacore pêché canne hyposodé - PHARE D'EKMÜHL,3263670335613,Bryio,Thon albacore pêché canne hyposodé 112gr (NON,EK33561,14,"2,90",Alimentaire / Épicerie / Conserves de poisson,A5.5-V5.5,ok,"0,112",,http://espacepro.bryio.com/images/stories/virtuemart/product/3263670335613.jpg,,non
1 501,Tomates pelées -,BIONATURAE,oui,Tomates pelées - BIONATURAE,8034063241263,Bryio,Tomates pelées 400gr,IS126,12,"0,74",Alimentaire / Épicerie / Conserves de légumes,A5.5-V5.5,ok,"0,4",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063241263.jpg,,non
1 531,Tomates séchées -,BIONATURAE,oui,Tomates séchées - BIONATURAE,8034063246183,Bryio,Tomates séchées 190gr,IS618,6,"1,74","Alimentaire / Épicerie / Épices, Condiments, Graines",A5.5-V5.5,ok,"0,19",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063246183.jpg,,non
3 302,Coquillette -,BIONATURAE,oui,Coquillette - BIONATURAE,​8001060029644,Bryio,Bionaturae Coquillette 5kg,IS2964,5,"7,48","Alimentaire / Épicerie / Riz, Pâtes, Féculents",A5.5-V5.5,ok,1,,http://espacepro.bryio.com/images/stories/virtuemart/product/8001060029644.jpg,,non
2 713,Biscottes sans sel à la farine bise à l'huile d'olive -,MOULIN PIVERT,oui,Biscottes sans sel à la farine bise à l'huile d'olive - MOULIN PIVERT,3268350120077,Bryio,Biscottes sans sel à la farine bise à l'huile d'olive,MP12007,12,"2,05",Alimentaire / Épicerie / Apéritifs,A5.5-V5.5,ok,"0,27",,http://espacepro.bryio.com/images/stories/virtuemart/product/3268350120077.jpg,,non
2 098,Compote de abricot -,COTEAUX NANTAIS,oui,Compote de abricot - COTEAUX NANTAIS,3301594000696,Bryio,Compote de abricot 315gr,CT4069,6,"2,75","Alimentaire / Épicerie / Compotes, Purées de fruits, Purées d'oléagineux",A5.5-V5.5,ok,"0,315",,http://espacepro.bryio.com/images/stories/virtuemart/product/3301594000696.jpg,,non
2 097,Compote de rhubarbe Demeter -,COTEAUX NANTAIS,oui,Compote de rhubarbe Demeter - COTEAUX NANTAIS,3301594000689,Bryio,Compote de rhubarbe 315gr Demeter,CT4068,6,"2,75","Alimentaire / Épicerie / Compotes, Purées de fruits, Purées d'oléagineux",A5.5-V5.5,ok,"0,315",,http://espacepro.bryio.com/images/stories/virtuemart/product/3301594000689.jpg,,non
2 324,Cookies aux pépites de chocolat  -,MOULIN PIVERT,oui,Cookies aux pépites de chocolat  - MOULIN PIVERT,3268350120237,Bryio,Cookies aux pépites de chocolat 175gr,MP12023,12,"2,01","Alimentaire / Épicerie / Biscuits, Galettes, Tartines, Pain et Patisserie Indus",A5.5-V5.5,ok,"0,175",,http://espacepro.bryio.com/images/stories/virtuemart/product/3268350120237.jpg,,non
5 604,Cookies macadamia éclats de chocolat blanc -,MOULIN PIVERT,oui,Cookies macadamia éclats de chocolat blanc - MOULIN PIVERT,3268350120916,Bryio,Cookies macadamia éclats de chocolat blanc 175gr,MP12091,12,"2,01","Alimentaire / Épicerie / Biscuits, Galettes, Tartines, Pain et Patisserie Indus",A5.5-V5.5,ok,"0,175",,http://espacepro.bryio.com/images/stories/virtuemart/product/3268350120916.jpg,,non
2 315,Equi'libre noisettes au miel -,MOULIN PIVERT,oui,Equi'libre noisettes au miel - MOULIN PIVERT,3268350120022,Bryio,Equi'libre noisettes au miel 200gr,MP12002,12,"2,23","Alimentaire / Épicerie / Biscuits, Galettes, Tartines, Pain et Patisserie Indus",A5.5-V5.5,ok,"0,2",,http://espacepro.bryio.com/images/stories/virtuemart/product/3268350120022.jpg,,non
2 316,Equi'libre raisins aux raisins de corinthe -,MOULIN PIVERT,oui,Equi'libre raisins aux raisins de corinthe - MOULIN PIVERT,3268350120039,Bryio,Equi'libre raisins aux raisins de corinthe 200gr,MP12003,12,"2,23","Alimentaire / Épicerie / Biscuits, Galettes, Tartines, Pain et Patisserie Indus",A5.5-V5.5,ok,"0,2",,http://espacepro.bryio.com/images/stories/virtuemart/product/3268350120039.jpg,,non
2 227,Flocons d'avoine sans gluten -,GRILLON D'OR,oui,Flocons d'avoine sans gluten - GRILLON D'OR,3421557701504,Bryio,Flocons d'avoine sans gluten 500gr,CC70150,6,"1,81",Alimentaire / Épicerie / Céréales petit déjeuner,A5.5-V5.5,ok,"0,5",,http://espacepro.bryio.com/images/stories/virtuemart/product/3421557701504.jpg,,non
2 344,Fourrés caramel au beurre salé -,MOULIN PIVERT,oui,Fourrés caramel au beurre salé - MOULIN PIVERT,3268350120787,Bryio,Fourrés caramel au beurre salé 175gr,MP12078,12,"2,32","Alimentaire / Épicerie / Biscuits, Galettes, Tartines, Pain et Patisserie Indus",A5.5-V5.5,ok,"0,175",,http://espacepro.bryio.com/images/stories/virtuemart/product/3268350120787.jpg,,non
1 287,Infusions rooïbos x20 -,NUTRISENSIS,oui,Infusions rooïbos x20 - NUTRISENSIS,3760161790338,Bryio,Infusions rooïbos x20 26gr,TC33,6,"1,82","Alimentaire / Épicerie / Café, Chicorée, Cacao, Thé, Tisanes",A5.5-V5.5,ok,"0,026",,http://espacepro.bryio.com/images/stories/virtuemart/product/3760161790338.jpg,,non
3 352,Mops chocolat -,GRILLON D'OR,oui,Mops chocolat - GRILLON D'OR,3421557920264,Bryio,Mops chocolat 300gr,CC92026,8,"1,98",Alimentaire / Épicerie / Céréales petit déjeuner,A5.5-V5.5,ok,"0,3",,http://espacepro.bryio.com/images/stories/virtuemart/product/3421557920264.jpg,,non
2 232,Mops miel -,GRILLON D'OR,oui,Mops miel - GRILLON D'OR,​3421557920271,Bryio,Mops miel 300gr,CC92027,8,"1,89",Alimentaire / Épicerie / Céréales petit déjeuner,A5.5-V5.5,ok,"0,3",,http://espacepro.bryio.com/images/stories/virtuemart/product/3421557920271.jpg,,non
